I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-29, -73, -43, 51, 7, -58, 126, 87, 39, 92, -24, -43, 
-53, -102, -48, 78, -2, -75, 122, 78, 43, 97, -24, -34, 
-63, -102, -39, 82, -12, -70, 107, 73, 43, 73, -29, -34, 
-48, -87, -39, 68, -4, -63, 102, 68, 34, 29, -39, -39, 
-48, -92, -43, 70, -2, -68, 112, 73, 43, 29, -39, -34, 
-24, -92, -68, 58, 21, -80, 122, 68, 58, 9, -48, -53, 
-4, -87, -82, 46, 39, -85, 112, 73, 43, -29, -58, -63, 
-14, -82, -68, 48, 26, -75, 122, 73, 58, -29, -48, -48, 
-9, -63, -53, 36, 21, -58, 112, 78, 68, -19, -53, -53, 
-14, -58, -43, 36, 14, -51, 136, 97, 97, 0, -24, -19, 
-9, -48, -39, 29, 14, -43, 126, 97, 78, 4, -9, -9, 
-63, -87, -24, 75, -19, -56, 107, 87, 68, 0, -19, -14, 
-87, -102, -14, 95, -36, -58, 102, 82, 78, 0, -24, -14, 
-82, -107, -24, 95, -29, -65, 87, 63, 58, -14, -29, -34, 
-68, -107, -39, 87, -14, -73, 97, 58, 73, -14, -34, -24, 
-14, -63, -48, 39, 17, -56, 107, 82, 87, -14, -19, -14, 
-34, -82, -48, 58, 7, -65, 112, 78, 87, 0, -24, -24, 
-14, -73, -58, 43, 21, -65, 126, 82, 102, 14, -9, -4, 
43, -29, -73, -7, 58, -51, 131, 102, 126, 48, 9, 0, 
-14, -48, -34, 31, 9, -41, 131, 97, 141, 78, 19, 9, 
-29, -58, -29, 43, 0, -43, 126, 97, 112, 78, 19, 14, 
-24, -73, -48, 48, 12, -61, 122, 87, 112, 87, 9, 0, 
-29, -63, -34, 46, 2, -48, 117, 82, 117, 97, 9, 14, 
-9, -43, -34, 26, 12, -39, 102, 73, 102, 73, 9, 0, 
-4, -48, -43, 26, 19, -46, 112, 78, 126, 73, 4, 14, 
0, -48, -48, 24, 24, -48, 122, 78, 122, 73, 0, 4, 
-43, -78, -34, 61, -4, -56, 117, 73, 112, 68, -4, -9, 
-68, -78, -9, 73, -29, -43, 126, 73, 117, 68, 4, -4, 
-48, -97, -48, 73, 0, -73, 136, 78, 122, 82, 4, -14, 
-43, -87, -43, 65, 0, -65, 126, 87, 141, 87, 34, 9, 
-58, -102, -43, 80, -7, -73, 122, 92, 126, 87, 39, 4, 
-97, -136, -39, 117, -29, -87, 126, 78, 131, 82, 34, -9, 
-58, -97, -39, 78, -9, -68, 122, 82, 156, 92, 58, 14, 
19, -34, -53, 7, 36, -43, 122, 97, 165, 92, 73, 29, 
39, -14, -53, -12, 46, -34, 126, 107, 180, 87, 73, 48, 
43, 9, -34, -26, 39, -12, 136, 102, 195, 82, 68, 29, 
53, 14, -39, -34, 46, -12, 122, 87, 190, 58, 58, 19, 
58, 0, -58, -29, 58, -29, 131, 87, 180, 34, 48, 9, 
19, -24, -43, 2, 31, -34, 131, 87, 180, 34, 39, 4, 
